UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
6998443,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),08/DEC/1998,-34.41667,141.43333,100,3,,,Captured and released,FAUNA,1,VIC,345,,352,1117736,,15/APR/16 11:12:40.000000000 AM
9013281,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,24/SEP/2018,-34.39113,141.392765,10,1,,,Heard,FAUNA,19,VIC,345,1,352,1747615,indig,12/JAN/19 11:53:57.415000000 AM
9013284,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,24/SEP/2018,-34.39113,141.392765,10,1,,,Heard,FAUNA,19,VIC,345,1,352,1747615,indig,12/JAN/19 11:53:57.415000000 AM
9013287,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,24/SEP/2018,-34.39113,141.392765,10,3,,,Heard,FAUNA,19,VIC,345,1,352,1747615,indig,12/JAN/19 11:53:57.415000000 AM
4265919,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,23/OCT/1993,-34.27975,142.24364,100,1,,,Observation,FAUNA,1,VIC,345,1,4887,505680,,16/AUG/11 12:00:00.000000000 AM
3797552,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,20/FEB/1986,-34.39637,141.38919,100,1,,,Observation,FAUNA,11,VIC,345,1,352,581503,,16/AUG/11 12:00:00.000000000 AM
3797580,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,15/NOV/1985,-34.3999,141.41205,100,1,,,Observation,FAUNA,11,VIC,345,1,352,581506,,16/AUG/11 12:00:00.000000000 AM
6995804,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),24/MAY/1998,-34.41667,141.43333,100,4,,,Captured and released,FAUNA,1,VIC,345,,352,1116808,,15/APR/16 11:12:40.000000000 AM
9013177,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,,0,,,Camera - Surveillance/Remote,25/SEP/2018,-34.395577,141.397975,10,1,,,Seen,FAUNA,9,VIC,345,1,352,1747604,indig,12/JAN/19 11:09:26.915000000 AM
4262861,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,16/OCT/1985,-35.1406,142.18196,100,2,,,Observation,FAUNA,1,VIC,345,1,,503539,,16/AUG/11 12:00:00.000000000 AM
4268275,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,01/JUN/1994,-35.34784,142.19597,100,2,,,Seen,FAUNA,8,VIC,378,1,237,506871,,16/AUG/11 12:00:00.000000000 AM
3802210,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,20/FEB/1987,-34.39637,141.38919,100,3,,,Observation,FAUNA,11,VIC,345,1,352,582893,,16/AUG/11 12:00:00.000000000 AM
5043157,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Birds Australia 500m area search,30/SEP/2000,-35.14288,142.0316,140,,,Breeding,Observation,FAUNA,18,VIC,345,1,,899728,,16/AUG/11 12:00:00.000000000 AM
6995836,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),12/NOV/1998,-34.41667,141.43333,100,3,,,Captured and released,FAUNA,1,VIC,345,,352,1116822,,15/APR/16 11:12:40.000000000 AM
7003608,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),26/FEB/1999,-34.41667,141.43333,100,2,,,Captured and released,FAUNA,1,VIC,345,,352,1119476,,15/APR/16 11:12:40.000000000 AM
7812390,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Birds Australia 2ha search,31/MAY/2009,-34.42694,141.43388,100,2,,,Observation,FAUNA,5,VIC,345,,352,1174473,,03/JUN/16 02:02:30.000000000 PM
4263052,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,11/APR/1982,-35.43131,141.93282,100,4,,,Observation,FAUNA,1,VIC,345,1,,503680,,16/AUG/11 12:00:00.000000000 AM
5614431,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,12/NOV/2006,-35.34402,142.19521,100,2,,,Seen,FAUNA,3,VIC,378,1,237,931052,,16/AUG/11 12:00:00.000000000 AM
5614879,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,16/SEP/2006,-35.16745,142.1769,100,2,,,Seen,FAUNA,3,VIC,345,1,291,931119,,16/AUG/11 12:00:00.000000000 AM
